timestamp,volume,y_pred
2015-11-06 03:20:00,3,-5
2015-11-06 03:25:00,11,-6
2015-11-06 03:30:00,5,-6
2015-11-06 03:35:00,5,-6
2015-11-06 03:40:00,4,-6
2015-11-06 03:45:00,1,-6
2015-11-06 03:50:00,7,-6
2015-11-06 03:55:00,5,-6
2015-11-06 04:00:00,5,-6
2015-11-06 04:05:00,6,-6
2015-11-06 04:10:00,0,-6
2015-11-06 04:15:00,6,-5
2015-11-06 04:20:00,5,-5
2015-11-06 04:25:00,6,-5
2015-11-06 04:30:00,6,-4
2015-11-06 04:35:00,10,-4
2015-11-06 04:40:00,13,-3
2015-11-06 04:45:00,18,-3
2015-11-06 04:50:00,12,-2
2015-11-06 04:55:00,13,-1
2015-11-06 05:00:00,24,0
2015-11-06 05:05:00,13,0
2015-11-06 05:10:00,16,1
2015-11-06 05:15:00,7,2
2015-11-06 05:20:00,7,3
2015-11-06 05:25:00,13,4
2015-11-06 05:30:00,12,5
2015-11-06 05:35:00,8,6
2015-11-06 05:40:00,9,8
2015-11-06 05:45:00,9,9
2015-11-06 05:50:00,12,11
2015-11-06 05:55:00,13,12
2015-11-06 06:00:00,9,14
2015-11-06 06:05:00,14,15
2015-11-06 06:10:00,19,17
2015-11-06 06:15:00,28,18
2015-11-06 06:20:00,17,20
2015-11-06 06:25:00,24,21
2015-11-06 06:30:00,43,23
2015-11-06 06:35:00,29,25
2015-11-06 06:40:00,39,26
2015-11-06 06:45:00,45,28
2015-11-06 06:50:00,44,29
2015-11-06 06:55:00,50,31
2015-11-06 07:00:00,42,33
2015-11-06 07:05:00,44,34
2015-11-06 07:10:00,52,36
2015-11-06 07:15:00,54,37
2015-11-06 07:20:00,69,38
2015-11-06 07:25:00,69,40
2015-11-06 07:30:00,78,41
2015-11-06 07:35:00,76,42
2015-11-06 07:40:00,70,43
2015-11-06 07:45:00,90,44
2015-11-06 07:50:00,77,45
2015-11-06 07:55:00,64,46
2015-11-06 08:00:00,71,47
2015-11-06 08:05:00,70,48
2015-11-06 08:10:00,68,49
2015-11-06 08:15:00,72,50
2015-11-06 08:20:00,54,50
2015-11-06 08:25:00,56,51
2015-11-06 08:30:00,73,51
2015-11-06 08:35:00,63,51
2015-11-06 08:40:00,54,52
2015-11-06 08:45:00,51,52
2015-11-06 08:50:00,41,52
2015-11-06 08:55:00,58,52
2015-11-06 09:00:00,66,52
2015-11-06 09:05:00,66,52
2015-11-06 09:10:00,58,52
2015-11-06 09:15:00,60,51
2015-11-06 09:20:00,60,51
2015-11-06 09:25:00,64,51
2015-11-06 09:30:00,64,50
2015-11-06 09:35:00,62,50
2015-11-06 09:40:00,59,49
2015-11-06 09:45:00,42,49
2015-11-06 09:50:00,65,48
2015-11-06 09:55:00,61,48
2015-11-06 10:00:00,46,47
2015-11-06 10:05:00,43,46
2015-11-06 10:10:00,67,46
2015-11-06 10:15:00,55,45
2015-11-06 10:20:00,51,44
2015-11-06 10:25:00,63,44
2015-11-06 10:30:00,54,43
2015-11-06 10:35:00,43,42
2015-11-06 10:40:00,48,42
2015-11-06 10:45:00,54,41
2015-11-06 10:50:00,55,41
2015-11-06 10:55:00,50,40
2015-11-06 11:00:00,54,39
2015-11-06 11:05:00,54,39
2015-11-06 11:10:00,41,38
2015-11-06 11:15:00,53,38
2015-11-06 11:20:00,49,37
2015-11-06 11:25:00,54,37
2015-11-06 11:30:00,52,37
2015-11-06 11:35:00,36,36
2015-11-06 11:40:00,56,36
2015-11-06 11:45:00,46,36
2015-11-06 11:50:00,47,36
2015-11-06 11:55:00,50,35
2015-11-06 12:00:00,55,35
2015-11-06 12:05:00,46,35
2015-11-06 12:10:00,52,35
2015-11-06 12:15:00,50,35
2015-11-06 12:20:00,43,35
2015-11-06 12:25:00,43,35
2015-11-06 12:30:00,50,35
2015-11-06 12:35:00,39,36
2015-11-06 12:40:00,51,36
2015-11-06 12:45:00,33,36
2015-11-06 12:50:00,46,36
2015-11-06 12:55:00,41,36
2015-11-06 13:00:00,35,37
2015-11-06 13:05:00,50,37
2015-11-06 13:10:00,57,37
2015-11-06 13:15:00,50,38
